"";"id";"name";"text";"power";"toughness";"manaCost";"convertedManaCost";"specificManaCost";"colorIdentity";"type1";"type2"
"2498";5852;"Fledgling Griffin";"Landfall — Whenever a land enters the battlefield under your control, Fledgling Griffin gains flying until end of turn.";"2";"2";"{1}{W}";2;1;"W";"Creature";"Griffin"
"2499";5853;"Fledgling Imp";"{B}, Discard a card: Fledgling Imp gains flying until end of turn.";"2";"2";"{2}{B}";3;1;"B";"Creature";"Imp"
"2500";5854;"Fledgling Mawcor";"Flying
{T}: Fledgling Mawcor deals 1 damage to any target.
Morph {U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)";"2";"2";"{3}{U}";4;1;"U";"Creature";"Beast"
"2501";5855;"Fledgling Osprey";"Fledgling Osprey has flying as long as it's enchanted.";"1";"1";"{U}";1;1;"U";"Creature";"Bird"
"2502";5856;"Fleecemane Lion";"{3}{G}{W}: Monstrosity 1. (If this creature isn't monstrous, put a +1/+1 counter on it and it becomes monstrous.)
As long as Fleecemane Lion is monstrous, it has hexproof and indestructible.";"3";"3";"{G}{W}";2;2;"G";"Creature";"Cat"
"2503";5857;"Fleet Swallower";"Whenever Fleet Swallower attacks, target player puts the top half of their library, rounded up, into their graveyard.";"6";"6";"{5}{U}{U}";7;2;"U";"Creature";"Fish"
"2504";5858;"Fleet-Footed Monk";"Fleet-Footed Monk can't be blocked by creatures with power 2 or greater.";"1";"1";"{1}{W}";2;1;"W";"Creature";"Human Monk"
"2505";5859;"Fleetfeather Cockatrice";"Flash (You may cast this spell any time you could cast an instant.)
Flying, deathtouch
{5}{G}{U}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)";"3";"3";"{3}{G}{U}";5;2;"G";"Creature";"Cockatrice"
"2506";5861;"Fleetfoot Panther";"Flash
When Fleetfoot Panther enters the battlefield, return a green or white creature you control to its owner's hand.";"3";"4";"{1}{G}{W}";3;2;"G";"Creature";"Cat"
"2507";5862;"Fleeting Aven";"Flying
Whenever a player cycles a card, return Fleeting Aven to its owner's hand.";"2";"2";"{1}{U}{U}";3;2;"U";"Creature";"Bird Wizard"
"2508";5864;"Fleeting Image";"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{U}: Return Fleeting Image to its owner's hand.";"2";"1";"{2}{U}";3;1;"U";"Creature";"Illusion"
"2509";5867;"Flensermite";"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)";"1";"1";"{1}{B}";2;1;"B";"Creature";"Gremlin"
"2510";5870;"Flesh Carver";"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
{1}{B}, Sacrifice another creature: Put two +1/+1 counters on Flesh Carver.
When Flesh Carver dies, create an X/X black Horror creature token, where X is Flesh Carver's power.";"2";"2";"{2}{B}";3;1;"B";"Creature";"Human Wizard"
"2511";5871;"Flesh Reaver";"Whenever Flesh Reaver deals damage to a creature or opponent, Flesh Reaver deals that much damage to you.";"4";"4";"{1}{B}";2;1;"B";"Creature";"Horror"
"2512";5873;"Flesh-Eater Imp";"Flying
Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Sacrifice a creature: Flesh-Eater Imp gets +1/+1 until end of turn.";"2";"2";"{3}{B}";4;1;"B";"Creature";"Imp"
"2513";5874;"Fleshbag Marauder";"When Fleshbag Marauder enters the battlefield, each player sacrifices a creature.";"3";"1";"{2}{B}";3;1;"B";"Creature";"Zombie Warrior"
"2514";5875;"Fleshformer";"{W}{U}{B}{R}{G}: Fleshformer gets +2/+2 and gains fear until end of turn. Target creature gets -2/-2 until end of turn. Activate this ability only during your turn. (A creature with fear can't be blocked except by artifact creatures and/or black creatures.)";"2";"2";"{2}{B}";3;1;"B";"Creature";"Human Wizard"
"2515";5876;"Fleshgrafter";"Discard an artifact card: Fleshgrafter gets +2/+2 until end of turn.";"2";"2";"{2}{B}";3;1;"B";"Creature";"Human Warrior"
"2516";5877;"Fleshmad Steed";"Whenever another creature dies, tap Fleshmad Steed.";"2";"2";"{1}{B}";2;1;"B";"Creature";"Horse"
"2517";5878;"Fleshpulper Giant";"When Fleshpulper Giant enters the battlefield, you may destroy target creature with toughness 2 or less.";"4";"4";"{5}{R}{R}";7;2;"R";"Creature";"Giant"
"2518";5879;"Fleshwrither";"Transfigure {1}{B}{B} ({1}{B}{B}, Sacrifice this creature: Search your library for a creature card with the same converted mana cost as this creature and put that card onto the battlefield. Then shuffle your library. Transfigure only as a sorcery.)";"3";"3";"{2}{B}{B}";4;2;"B";"Creature";"Horror"
"2519";5882;"Flickering Spirit";"Flying
{3}{W}: Exile Flickering Spirit, then return it to the battlefield under its owner's control.";"2";"2";"{3}{W}";4;1;"W";"Creature";"Spirit"
"2520";5884;"Flickerwisp";"Flying
When Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.";"3";"1";"{1}{W}{W}";3;2;"W";"Creature";"Elemental"
"2521";5887;"Flight of Equenauts";"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Flying";"4";"5";"{7}{W}";8;1;"W";"Creature";"Human Knight"
"2522";5891;"Flinthoof Boar";"Flinthoof Boar gets +1/+1 as long as you control a Mountain.
{R}: Flinthoof Boar gains haste until end of turn. (It can attack and {T} this turn.)";"2";"2";"{1}{G}";2;1;"G";"Creature";"Boar"
"2523";5894;"Floating-Dream Zubera";"When Floating-Dream Zubera dies, draw a card for each Zubera that died this turn.";"1";"2";"{1}{U}";2;1;"U";"Creature";"Zubera Spirit"
"2524";5899;"Floodbringer";"Flying
{2}, Return a land you control to its owner's hand: Tap target land.";"1";"2";"{1}{U}";2;1;"U";"Creature";"Moonfolk Wizard"
"2525";5900;"Floodchaser";"Floodchaser enters the battlefield with six +1/+1 counters on it.
Floodchaser can't attack unless defending player controls an Island.
{U}, Remove a +1/+1 counter from Floodchaser: Target land becomes an Island until end of turn.";"0";"0";"{5}{U}";6;1;"U";"Creature";"Elemental"
"2526";5905;"Floodgate";"Defender (This creature can't attack.)
When Floodgate has flying, sacrifice it.
When Floodgate leaves the battlefield, it deals damage equal to half the number of Islands you control, rounded down, to each nonblue creature without flying.";"0";"5";"{3}{U}";4;1;"U";"Creature";"Wall"
"2527";5906;"Floodtide Serpent";"Floodtide Serpent can't attack unless you return an enchantment you control to its owner's hand. (This cost is paid as attackers are declared.)";"4";"4";"{4}{U}";5;1;"U";"Creature";"Serpent"
"2528";5909;"Floral Spuzzem";"Whenever Floral Spuzzem attacks and isn't blocked, you may destroy target artifact defending player controls. If you do, Floral Spuzzem assigns no combat damage this turn.";"2";"2";"{3}{G}";4;1;"G";"Creature";"Elemental"
"2529";5913;"Flow of Maggots";"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
Flow of Maggots can't be blocked by non-Wall creatures.";"2";"2";"{2}{B}";3;1;"B";"Creature";"Insect"
"2530";5916;"Flowering Lumberknot";"Flowering Lumberknot can't attack or block unless it's paired with a creature with soulbond.";"5";"5";"{3}{G}";4;1;"G";"Creature";"Treefolk"
"2531";5919;"Flowstone Channeler";"{1}{R}, {T}, Discard a card: Target creature gets +1/-1 and gains haste until end of turn.";"2";"2";"{2}{R}";3;1;"R";"Creature";"Human Spellshaper"
"2532";5920;"Flowstone Charger";"Whenever Flowstone Charger attacks, it gets +3/-3 until end of turn.";"2";"5";"{2}{R}{W}";4;2;"R";"Creature";"Beast"
"2533";5921;"Flowstone Crusher";"{R}: Flowstone Crusher gets +1/-1 until end of turn.";"4";"4";"{3}{R}{R}";5;2;"R";"Creature";"Beast"
"2534";5924;"Flowstone Giant";"{R}: Flowstone Giant gets +2/-2 until end of turn.";"3";"3";"{2}{R}{R}";4;2;"R";"Creature";"Giant"
"2535";5925;"Flowstone Hellion";"Haste
{0}: Flowstone Hellion gets +1/-1 until end of turn.";"3";"3";"{4}{R}";5;1;"R";"Creature";"Hellion Beast"
"2536";5926;"Flowstone Mauler";"Trample
{R}: Flowstone Mauler gets +1/-1 until end of turn.";"4";"5";"{4}{R}{R}";6;2;"R";"Creature";"Beast"
"2537";5927;"Flowstone Overseer";"{R}{R}: Target creature gets +1/-1 until end of turn.";"4";"4";"{2}{R}{R}{R}";5;3;"R";"Creature";"Beast"
"2538";5928;"Flowstone Salamander";"{R}: Flowstone Salamander deals 1 damage to target creature blocking it.";"3";"4";"{3}{R}{R}";5;2;"R";"Creature";"Salamander"
"2539";5930;"Flowstone Shambler";"{R}: Flowstone Shambler gets +1/-1 until end of turn.";"2";"2";"{2}{R}";3;1;"R";"Creature";"Beast"
"2540";5935;"Flowstone Wall";"Defender (This creature can't attack.)
{R}: Flowstone Wall gets +1/-1 until end of turn.";"0";"6";"{2}{R}";3;1;"R";"Creature";"Wall"
"2541";5936;"Flowstone Wyvern";"Flying
{R}: Flowstone Wyvern gets +2/-2 until end of turn.";"3";"3";"{3}{R}{R}";5;2;"R";"Creature";"Drake"
"2542";5942;"Fluxcharger";"Flying
Whenever you cast an instant or sorcery spell, you may switch Fluxcharger's power and toughness until end of turn.";"1";"5";"{2}{U}{R}";4;2;"R";"Creature";"Weird"
"2543";5945;"Flying Men";"Flying";"1";"1";"{U}";1;1;"U";"Creature";"Human"
"2544";5948;"Foe-Razer Regent";"Flying
When Foe-Razer Regent enters the battlefield, you may have it fight target creature you don't control.
Whenever a creature you control fights, put two +1/+1 counters on it at the beginning of the next end step.";"4";"5";"{5}{G}{G}";7;2;"G";"Creature";"Dragon"
"2545";5950;"Fog Bank";"Defender, flying
Prevent all combat damage that would be dealt to and dealt by Fog Bank.";"0";"2";"{1}{U}";2;1;"U";"Creature";"Wall"
"2546";5951;"Fog Elemental";"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Fog Elemental attacks or blocks, sacrifice it at end of combat.";"4";"4";"{2}{U}";3;1;"U";"Creature";"Elemental"
"2547";5953;"Fog of Gnats";"Flying
{B}: Regenerate Fog of Gnats.";"1";"1";"{B}{B}";2;2;"B";"Creature";"Insect"
"2548";5954;"Fogwalker";"Skulk (This creature can't be blocked by creatures with greater power.)
When Fogwalker enters the battlefield, target creature an opponent controls doesn't untap during its controller's next untap step.";"1";"3";"{1}{U}";2;1;"U";"Creature";"Spirit"
"2549";5958;"Folk of An-Havva";"Whenever Folk of An-Havva blocks, it gets +2/+0 until end of turn.";"1";"1";"{G}";1;1;"G";"Creature";"Human"
"2550";5959;"Folk of the Pines";"{1}{G}: Folk of the Pines gets +1/+0 until end of turn.";"2";"5";"{4}{G}";5;1;"G";"Creature";"Dryad"
"2551";5961;"Fomori Nomad";"";"4";"4";"{4}{R}";5;1;"R";"Creature";"Nomad Giant"
"2552";5972;"Foot Soldiers";"";"2";"4";"{3}{W}";4;1;"W";"Creature";"Human Soldier"
"2553";5974;"Foothill Guide";"Protection from Goblins
Morph {W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)";"1";"1";"{W}";1;1;"W";"Creature";"Human Cleric"
"2554";5975;"Footlight Fiend";"When Footlight Fiend dies, it deals 1 damage to any target.";"1";"1";"{B/R}";1;1;"B";"Creature";"Devil"
"2555";5978;"Foratog";"{G}, Sacrifice a Forest: Foratog gets +2/+2 until end of turn.";"1";"2";"{2}{G}";3;1;"G";"Creature";"Atog"
"2556";5985;"Forbidding Spirit";"When Forbidding Spirit enters the battlefield, until your next turn, creatures can't attack you or a planeswalker you control unless their controller pays {2} for each of those creatures.";"3";"3";"{1}{W}{W}";3;2;"W";"Creature";"Spirit Cleric"
"2557";5991;"Force of Nature";"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay {G}{G}{G}{G}.";"8";"8";"{2}{G}{G}{G}{G}";6;4;"G";"Creature";"Elemental"
"2558";5992;"Force of Savagery";"Trample";"8";"0";"{2}{G}";3;1;"G";"Creature";"Elemental"
"2559";6000;"Forcemage Advocate";"{T}: Return target card from an opponent's graveyard to their hand. Put a +1/+1 counter on target creature.";"2";"1";"{1}{G}";2;1;"G";"Creature";"Centaur Shaman"
"2560";6003;"Forerunner of Slaughter";"Devoid (This card has no color.)
{1}: Target colorless creature gains haste until end of turn.";"3";"2";"{B}{R}";2;2;"B";"Creature";"Eldrazi Drone"
"2561";6004;"Forerunner of the Coalition";"When Forerunner of the Coalition enters the battlefield, you may search your library for a Pirate card, reveal it, then shuffle your library and put that card on top of it.
Whenever another Pirate enters the battlefield under your control, each opponent loses 1 life.";"2";"2";"{2}{B}";3;1;"B";"Creature";"Human Pirate"
"2562";6005;"Forerunner of the Empire";"When Forerunner of the Empire enters the battlefield, you may search your library for a Dinosaur card, reveal it, then shuffle your library and put that card on top of it.
Whenever a Dinosaur enters the battlefield under your control, you may have Forerunner of the Empire deal 1 damage to each creature.";"1";"3";"{3}{R}";4;1;"R";"Creature";"Human Soldier"
"2563";6006;"Forerunner of the Heralds";"When Forerunner of the Heralds enters the battlefield, you may search your library for a Merfolk card, reveal it, then shuffle your library and put that card on top of it.
Whenever another Merfolk enters the battlefield under your control, put a +1/+1 counter on Forerunner of the Heralds.";"3";"2";"{3}{G}";4;1;"G";"Creature";"Merfolk Scout"
"2564";6007;"Forerunner of the Legion";"When Forerunner of the Legion enters the battlefield, you may search your library for a Vampire card, reveal it, then shuffle your library and put that card on top of it.
Whenever another Vampire enters the battlefield under your control, target creature gets +1/+1 until end of turn.";"2";"2";"{2}{W}";3;1;"W";"Creature";"Vampire Knight"
"2565";6012;"Forest Bear";"";"2";"2";"{1}{G}";2;1;"G";"Creature";"Bear"
"2566";6016;"Forge Devil";"When Forge Devil enters the battlefield, it deals 1 damage to target creature and 1 damage to you.";"1";"1";"{R}";1;1;"R";"Creature";"Devil"
"2567";6019;"Forgestoker Dragon";"Flying
{1}{R}: Forgestoker Dragon deals 1 damage to target creature. That creature can't block this combat. Activate this ability only if Forgestoker Dragon is attacking.";"5";"4";"{4}{R}{R}";6;2;"R";"Creature";"Dragon"
"2568";6021;"Forgotten Ancient";"Whenever a player casts a spell, you may put a +1/+1 counter on Forgotten Ancient.
At the beginning of your upkeep, you may move any number of +1/+1 counters from Forgotten Ancient onto other creatures.";"0";"3";"{3}{G}";4;1;"G";"Creature";"Elemental"
"2569";6023;"Forgotten Creation";"Skulk (This creature can't be blocked by creatures with greater power.)
At the beginning of your upkeep, you may discard all the cards in your hand. If you do, draw that many cards.";"3";"3";"{3}{U}";4;1;"U";"Creature";"Zombie Horror"
"2570";6026;"Foriysian Brigade";"Foriysian Brigade can block an additional creature each combat.";"2";"4";"{3}{W}";4;1;"W";"Creature";"Human Soldier"
"2571";6027;"Foriysian Interceptor";"Flash (You may cast this spell any time you could cast an instant.)
Defender
Foriysian Interceptor can block an additional creature each combat.";"0";"5";"{3}{W}";4;1;"W";"Creature";"Human Soldier"
"2572";6033;"Forked-Branch Garami";"Soulshift 4, soulshift 4 (When this creature dies, you may return up to two target Spirit cards with converted mana cost 4 or less from your graveyard to your hand.)";"4";"4";"{3}{G}{G}";5;2;"G";"Creature";"Spirit"
"2573";6034;"Forlorn Pseudamma";"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Inspired — Whenever Forlorn Pseudamma becomes untapped, you may pay {2}{B}. If you do, create a 2/2 black Zombie enchantment creature token.";"2";"1";"{3}{B}";4;1;"B";"Creature";"Zombie"
"2574";6042;"Forsaken Drifters";"When Forsaken Drifters dies, put the top four cards of your library into your graveyard.";"4";"2";"{3}{B}";4;1;"B";"Creature";"Zombie"
"2575";6046;"Fortified Rampart";"Defender";"0";"6";"{1}{W}";2;1;"W";"Creature";"Wall"
"2576";6050;"Fortress Crab";"";"1";"6";"{3}{U}";4;1;"U";"Creature";"Crab"
"2577";6051;"Fortress Cyclops";"Whenever Fortress Cyclops attacks, it gets +3/+0 until end of turn.
Whenever Fortress Cyclops blocks, it gets +0/+3 until end of turn.";"3";"3";"{3}{R}{W}";5;2;"R";"Creature";"Cyclops Soldier"
"2578";6054;"Fortune Thief";"Damage that would reduce your life total to less than 1 reduces it to 1 instead.
Morph {R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)";"0";"1";"{4}{R}";5;1;"R";"Creature";"Human Rogue"
"2579";6058;"Foul Emissary";"When Foul Emissary enters the battlefield, look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
When you sacrifice Foul Emissary while casting a spell with emerge, create a 3/2 colorless Eldrazi Horror creature token.";"1";"1";"{2}{G}";3;1;"G";"Creature";"Human Horror"
"2580";6059;"Foul Familiar";"Foul Familiar can't block.
{B}, Pay 1 life: Return Foul Familiar to its owner's hand.";"3";"1";"{2}{B}";3;1;"B";"Creature";"Spirit"
"2581";6060;"Foul Imp";"Flying
When Foul Imp enters the battlefield, you lose 2 life.";"2";"2";"{B}{B}";2;2;"B";"Creature";"Imp"
"2582";6064;"Foul Spirit";"Flying
When Foul Spirit enters the battlefield, sacrifice a land.";"3";"2";"{2}{B}";3;1;"B";"Creature";"Spirit"
"2583";6068;"Foundry Champion";"When Foundry Champion enters the battlefield, it deals damage to any target equal to the number of creatures you control.
{R}: Foundry Champion gets +1/+0 until end of turn.
{W}: Foundry Champion gets +0/+1 until end of turn.";"4";"4";"{4}{R}{W}";6;2;"R";"Creature";"Elemental Soldier"
"2584";6069;"Foundry Hornet";"Flying
When Foundry Hornet enters the battlefield, if you control a creature with a +1/+1 counter on it, creatures your opponents control get -1/-1 until end of turn.";"2";"3";"{3}{B}";4;1;"B";"Creature";"Insect"
"2585";6071;"Foundry Screecher";"Flying
Foundry Screecher gets +1/+0 as long as you control an artifact.";"2";"1";"{2}{B}";3;1;"B";"Creature";"Bat"
"2586";6072;"Foundry Street Denizen";"Whenever another red creature enters the battlefield under your control, Foundry Street Denizen gets +1/+0 until end of turn.";"1";"1";"{R}";1;1;"R";"Creature";"Goblin Warrior"
"2587";6074;"Fountain Watch";"Artifacts and enchantments you control have shroud. (They can't be the targets of spells or abilities.)";"2";"4";"{3}{W}{W}";5;2;"W";"Creature";"Human Cleric"
"2588";6078;"Fourth Bridge Prowler";"When Fourth Bridge Prowler enters the battlefield, you may have target creature get -1/-1 until end of turn.";"1";"1";"{B}";1;1;"B";"Creature";"Human Rogue"
"2589";6081;"Foxfire Oak";"{R/G}{R/G}{R/G}: Foxfire Oak gets +3/+0 until end of turn.";"3";"6";"{5}{G}";6;1;"G";"Creature";"Treefolk Shaman"
"2590";6082;"Fraction Jackson";"{G}, {T}: Return target card with a ½ on it from your graveyard to your hand.";"1";"1.5";"{2}{G}";3;1;"G";"Creature";"Human Hero"
"2591";6089;"Frankenstein's Monster";"As Frankenstein's Monster enters the battlefield, exile X creature cards from your graveyard. If you can't, put Frankenstein's Monster into its owner's graveyard instead of onto the battlefield. For each creature card exiled this way, Frankenstein's Monster enters the battlefield with a +2/+0, +1/+1, or +0/+2 counter on it.";"0";"1";"{X}{B}{B}";2;2;"B";"Creature";"Zombie"
"2592";6098;"Frazzled Editor";"Protection from wordy (Something is wordy if it has four or more lines of rules text.)";"2";"2";"{1}{R}";2;1;"R";"Creature";"Human Bureaucrat"
"2593";6099;"Frazzled Editor (b)";"Protection from wordy (Something is wordy if it has four or more lines of rules text.)";"2";"2";"{1}{R}";2;1;"R";"Creature";"Human Bureaucrat"
"2594";6100;"Free-Range Chicken";"{1}{G}: Roll two six-sided dice. If both results are the same, Free-Range Chicken gets +X/+X until end of turn, where X is that result. If the total of those results is equal to any other total you have rolled this turn for Free-Range Chicken, sacrifice it. (For example, if you roll two 3s, Free-Range Chicken gets +3/+3. If you roll a total of 6 for Free-Range Chicken later that turn, sacrifice it.)";"3";"3";"{3}{G}";4;1;"G";"Creature";"Chicken"
"2595";6103;"Freejam Regent";"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Flying
{1}{R}: Freejam Regent gets +2/+0 until end of turn.";"4";"4";"{4}{R}{R}";6;2;"R";"Creature";"Dragon"
"2596";6104;"Freewind Equenaut";"Flying
As long as Freewind Equenaut is enchanted, it has ""{T}: Freewind Equenaut deals 2 damage to target attacking or blocking creature.""";"2";"2";"{2}{W}";3;1;"W";"Creature";"Human Archer"
"2597";6105;"Freewind Falcon";"Flying, protection from red";"1";"1";"{1}{W}";2;1;"W";"Creature";"Bird"
"2598";6106;"Frenetic Efreet";"Flying
{0}: Flip a coin. If you win the flip, Frenetic Efreet phases out. If you lose the flip, sacrifice Frenetic Efreet. (While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)";"2";"1";"{1}{U}{R}";3;2;"R";"Creature";"Efreet"
"2599";6108;"Frenetic Ogre";"{R}, Discard a card at random: Frenetic Ogre gets +3/+0 until end of turn.";"2";"3";"{4}{R}";5;1;"R";"Creature";"Ogre"
"2600";6109;"Frenetic Raptor";"Beasts can't block.";"6";"6";"{5}{R}";6;1;"R";"Creature";"Dinosaur Beast"
"2601";6110;"Frenetic Sliver";"All Slivers have ""{0}: If this permanent is on the battlefield, flip a coin. If you win the flip, exile this permanent and return it to the battlefield under its owner's control at the beginning of the next end step. If you lose the flip, sacrifice it.""";"2";"2";"{1}{U}{R}";3;2;"R";"Creature";"Sliver"
"2602";6111;"Frenzied Arynx";"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Trample
{4}{R}{G}: Frenzied Arynx gets +3/+0 until end of turn.";"3";"3";"{2}{R}{G}";4;2;"G";"Creature";"Cat Beast"
"2603";6113;"Frenzied Goblin";"Whenever Frenzied Goblin attacks, you may pay {R}. If you do, target creature can't block this turn.";"1";"1";"{R}";1;1;"R";"Creature";"Goblin Berserker"
"2604";6115;"Frenzied Raptor";"";"4";"2";"{2}{R}";3;1;"R";"Creature";"Dinosaur"
"2605";6117;"Frenzy Sliver";"All Sliver creatures have frenzy 1. (Whenever a Sliver attacks and isn't blocked, it gets +1/+0 until end of turn.)";"1";"1";"{1}{B}";2;1;"B";"Creature";"Sliver"
"2606";6119;"Fresh Volunteers";"";"2";"2";"{1}{W}";2;1;"W";"Creature";"Human Rebel"
"2607";6120;"Fresh-Faced Recruit";"As long as it's your turn, Fresh-Faced Recruit has first strike.";"2";"1";"{1}{R/W}";2;1;"R";"Creature";"Human Soldier"
"2608";6121;"Fretwork Colony";"Fretwork Colony can't block.
At the beginning of your upkeep, put a +1/+1 counter on Fretwork Colony and you lose 1 life.";"1";"1";"{1}{B}";2;1;"B";"Creature";"Insect"
"2609";6122;"Freyalise Supplicant";"{T}, Sacrifice a red or white creature: Freyalise Supplicant deals damage to any target equal to half the sacrificed creature's power, rounded down.";"1";"1";"{1}{G}";2;1;"G";"Creature";"Human Cleric"
"2610";6128;"Frightcrawler";"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Threshold — As long as seven or more cards are in your graveyard, Frightcrawler gets +2/+2 and can't block.";"1";"1";"{1}{B}";2;1;"B";"Creature";"Horror"
"2611";6130;"Frightshroud Courier";"You may choose not to untap Frightshroud Courier during your untap step.
{2}{B}, {T}: Target Zombie creature gets +2/+2 and has fear for as long as Frightshroud Courier remains tapped. (It can't be blocked except by artifact creatures and/or black creatures.)";"2";"1";"{2}{B}";3;1;"B";"Creature";"Zombie"
"2612";6131;"Frilled Deathspitter";"Enrage — Whenever Frilled Deathspitter is dealt damage, it deals 2 damage to target opponent or planeswalker.";"3";"2";"{2}{R}";3;1;"R";"Creature";"Dinosaur"
"2613";6132;"Frilled Mystic";"Flash
When Frilled Mystic enters the battlefield, you may counter target spell.";"3";"2";"{G}{G}{U}{U}";4;4;"G";"Creature";"Elf Lizard Wizard"
"2614";6133;"Frilled Oculus";"{1}{G}: Frilled Oculus gets +2/+2 until end of turn. Activate this ability only once each turn.";"1";"3";"{1}{U}";2;1;"G";"Creature";"Homunculus"
"2615";6134;"Frilled Sandwalla";"{1}{G}: Frilled Sandwalla gets +2/+2 until end of turn. Activate this ability only once each turn.";"1";"1";"{G}";1;1;"G";"Creature";"Lizard"
"2616";6135;"Frilled Sea Serpent";"{5}{U}{U}: Frilled Sea Serpent can't be blocked this turn.";"4";"6";"{4}{U}{U}";6;2;"U";"Creature";"Serpent"
"2617";6138;"Frogtosser Banneret";"Haste
Goblin spells and Rogue spells you cast cost {1} less to cast.";"1";"1";"{1}{B}";2;1;"B";"Creature";"Goblin Rogue"
"2618";6143;"Frontier Guide";"{3}{G}, {T}: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.";"1";"1";"{1}{G}";2;1;"G";"Creature";"Elf Scout"
"2619";6144;"Frontier Mastodon";"Ferocious — Frontier Mastodon enters the battlefield with a +1/+1 counter on it if you control a creature with power 4 or greater.";"3";"2";"{2}{G}";3;1;"G";"Creature";"Elephant"
"2620";6146;"Frontline Devastator";"Afflict 2 (Whenever this creature becomes blocked, defending player loses 2 life.)
{1}{R}: Frontline Devastator gets +1/+0 until end of turn.";"3";"3";"{3}{R}";4;1;"R";"Creature";"Zombie Minotaur Warrior"
"2621";6147;"Frontline Medic";"Battalion — Whenever Frontline Medic and at least two other creatures attack, creatures you control gain indestructible until end of turn.
Sacrifice Frontline Medic: Counter target spell with {X} in its mana cost unless its controller pays {3}.";"3";"3";"{2}{W}";3;1;"W";"Creature";"Human Cleric"
"2622";6148;"Frontline Rebel";"Frontline Rebel attacks each combat if able.";"3";"3";"{2}{R}";3;1;"R";"Creature";"Human Warrior"
"2623";6149;"Frontline Sage";"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
{U}, {T}: Draw a card, then discard a card.";"0";"1";"{2}{U}";3;1;"U";"Creature";"Human Wizard"
"2624";6150;"Frontline Strategist";"Morph {W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Frontline Strategist is turned face up, prevent all combat damage non-Soldier creatures would deal this turn.";"1";"1";"{W}";1;1;"W";"Creature";"Human Soldier"
"2625";6152;"Frost Giant";"Rampage 2 (Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.)";"4";"4";"{3}{R}{R}{R}";6;3;"R";"Creature";"Giant"
"2626";6153;"Frost Lynx";"When Frost Lynx enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.";"2";"2";"{2}{U}";3;1;"U";"Creature";"Elemental Cat"
"2627";6155;"Frost Ogre";"";"5";"3";"{3}{R}{R}";5;2;"R";"Creature";"Ogre Warrior"
"2628";6157;"Frost Titan";"Whenever Frost Titan becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {2}.
Whenever Frost Titan enters the battlefield or attacks, tap target permanent. It doesn't untap during its controller's next untap step.";"6";"6";"{4}{U}{U}";6;2;"U";"Creature";"Giant"
"2629";6158;"Frost Walker";"When Frost Walker becomes the target of a spell or ability, sacrifice it.";"4";"1";"{1}{U}";2;1;"U";"Creature";"Elemental"
"2630";6159;"Frostburn Weird";"{U/R}: Frostburn Weird gets +1/-1 until end of turn.";"1";"4";"{U/R}{U/R}";2;2;"R";"Creature";"Weird"
"2631";6160;"Frostling";"Sacrifice Frostling: It deals 1 damage to target creature.";"1";"1";"{R}";1;1;"R";"Creature";"Spirit"
"2632";6162;"Frostwielder";"If a creature dealt damage by Frostwielder this turn would die, exile it instead.
{T}: Frostwielder deals 1 damage to any target.";"1";"2";"{2}{R}{R}";4;2;"R";"Creature";"Human Shaman"
"2633";6163;"Frostwind Invoker";"Flying
{8}: Creatures you control gain flying until end of turn.";"3";"3";"{4}{U}";5;1;"U";"Creature";"Merfolk Wizard"
